year,month,day_endofweek,Date,statefips,state_name,contclaims_count_regular,contclaims_count_peuc,contclaims_count_pua,pand_claims,contclaims_count_combined,reg_reg_claims,reg_pand_claim,early_reg_claim,early_pand_claims,binary_dumb,covid_cases,covid_death_count,full_vaccine
2020,2,1,2/1/20,1,Alabama,17284,0,0,0,17284,.,.,17284,0,0,0,0,0
2020,2,1,2/1/20,2,Alaska,9579,0,0,0,9579,.,.,9579,0,0,0,0,0
2020,2,1,2/1/20,4,Arizona,18854,0,0,0,18854,.,.,18854,0,0,0,0,0
2020,2,1,2/1/20,5,Arkansas,13210,0,0,0,13210,.,.,13210,0,0,0,0,0
2020,2,1,2/1/20,6,California,388341,0,0,0,388341,388341,0,.,.,0,2,0,0
2020,2,1,2/1/20,8,Colorado,21560,0,0,0,21560,21560,0,.,.,0,0,0,0
2020,2,1,2/1/20,9,Connecticut,41725,0,0,0,41725,41725,0,.,.,0,0,0,0
2020,2,1,2/1/20,10,Delaware,6830,0,0,0,6830,6830,0,.,.,0,0,0,0
2020,2,1,2/1/20,11,District of Columbia,7139,0,0,0,7139,7139,0,.,.,0,0,0,0
2020,2,1,2/1/20,12,Florida,35871,0,0,0,35871,.,.,35871,0,0,0,0,0
2020,2,1,2/1/20,13,Georgia,28332,0,0,0,28332,.,.,28332,0,0,0,0,0
2020,2,1,2/1/20,15,Hawaii,6070,0,0,0,6070,6070,0,.,.,0,0,0,0
2020,2,1,2/1/20,16,Idaho,11337,0,0,0,11337,.,.,11337,0,0,0,0,0
2020,2,1,2/1/20,17,Illinois,143239,0,0,0,143239,143239,0,.,.,0,0,0,0
2020,2,1,2/1/20,18,Indiana,22017,0,0,0,22017,.,.,22017,0,0,0,0,0
2020,2,1,2/1/20,19,Iowa,30890,0,0,0,30890,.,.,30890,0,0,0,0,0
2020,2,1,2/1/20,20,Kansas,12301,0,0,0,12301,12301,0,.,.,0,0,0,0
2020,2,1,2/1/20,21,Kentucky,23219,0,0,0,23219,23219,0,.,.,0,0,0,0
2020,2,1,2/1/20,22,Louisiana,16189,0,0,0,16189,.,.,16189,0,0,0,0,0
2020,2,1,2/1/20,23,Maine,8916,0,0,0,8916,8916,0,.,.,0,0,0,0
2020,2,1,2/1/20,24,Maryland,29788,0,0,0,29788,.,.,29788,0,0,0,0,0
2020,2,1,2/1/20,25,Massachusetts,76927,0,0,0,76927,76927,0,.,.,0,0,0,0
2020,2,1,2/1/20,26,Michigan,82775,0,0,0,82775,82775,0,.,.,0,0,0,0
2020,2,1,2/1/20,27,Minnesota,62189,0,0,0,62189,62189,0,.,.,0,0,0,0
2020,2,1,2/1/20,28,Mississippi,8674,0,0,0,8674,.,.,8674,0,0,0,0,0
2020,2,1,2/1/20,29,Missouri,29854,0,0,0,29854,.,.,29854,0,0,0,0,0
2020,2,1,2/1/20,30,Montana,11527,0,0,0,11527,.,.,11527,0,0,0,0,0
2020,2,1,2/1/20,31,Nebraska,7165,0,0,0,7165,.,.,7165,0,0,0,0,0
2020,2,1,2/1/20,32,Nevada,19177,0,0,0,19177,19177,0,.,.,0,0,0,0
2020,2,1,2/1/20,33,New Hampshire,4033,0,0,0,4033,.,.,.,.,0,0,0,0
2020,2,1,2/1/20,34,New Jersey,110022,0,0,0,110022,110022,0,.,.,0,0,0,0
2020,2,1,2/1/20,35,New Mexico,10066,0,0,0,10066,10066,0,.,.,0,0,0,0
2020,2,1,2/1/20,36,New York,165715,0,0,0,165715,165715,0,.,.,0,0,0,0
2020,2,1,2/1/20,37,North Carolina,22342,0,0,0,22342,22342,0,.,.,0,0,0,0
2020,2,1,2/1/20,38,North Dakota,6782,0,0,0,6782,.,.,6782,0,0,0,0,0
2020,2,1,2/1/20,39,Ohio,72622,0,0,0,72622,.,.,72622,0,0,0,0,0
2020,2,1,2/1/20,40,Oklahoma,17451,0,0,0,17451,.,.,17451,0,0,0,0,0
2020,2,1,2/1/20,41,Oregon,31876,0,0,0,31876,31876,0,.,.,0,0,0,0
2020,2,1,2/1/20,42,Pennsylvania,135951,0,0,0,135951,135951,0,.,.,0,0,0,0
2020,2,1,2/1/20,44,Rhode Island,11042,0,0,0,11042,11042,0,.,.,0,0,0,0
2020,2,1,2/1/20,45,South Carolina,17061,0,0,0,17061,.,.,17061,0,0,0,0,0
2020,2,1,2/1/20,46,South Dakota,3155,0,0,0,3155,.,.,3155,0,0,0,0,0
2020,2,1,2/1/20,47,Tennessee,21364,0,0,0,21364,.,.,21364,0,0,0,0,0
2020,2,1,2/1/20,48,Texas,140826,0,0,0,140826,.,.,140826,0,0,0,0,0
2020,2,1,2/1/20,49,Utah,11872,0,0,0,11872,.,.,11872,0,0,0,0,0
2020,2,1,2/1/20,50,Vermont,5006,0,0,0,5006,5006,0,.,.,0,0,0,0
2020,2,1,2/1/20,51,Virginia,22263,0,0,0,22263,22263,0,.,.,0,0,0,0
2020,2,1,2/1/20,53,Washington,65260,0,0,0,65260,65260,0,.,.,0,0,0,0
2020,2,1,2/1/20,54,West Virginia,16905,0,0,0,16905,.,.,16905,0,0,0,0,0
2020,2,1,2/1/20,55,Wisconsin,44425,0,0,0,44425,44425,0,.,.,0,0,0,0
2020,2,1,2/1/20,56,Wyoming,3475,0,0,0,3475,.,.,3475,0,0,0,0,0
2020,2,8,2/8/20,1,Alabama,16745,0,0,0,16745,.,.,16745,0,0,0,0,0
2020,2,8,2/8/20,2,Alaska,9161,0,0,0,9161,.,.,9161,0,0,0,0,0
2020,2,8,2/8/20,4,Arizona,18461,0,0,0,18461,.,.,18461,0,0,0,0,0
2020,2,8,2/8/20,5,Arkansas,12964,0,0,0,12964,.,.,12964,0,0,0,0,0
